ID_FOLHA,DATA_FOLHA,STATUS ,DATA DE LAÇAMENTO 
1,01/08/2026,LANCADA,03/08/2026
2,02/08/2026,LANCADA,03/08/2026
3,03/08/2026,LANCADA,03/08/2026
4,04/08/2026,LANCADA,10/08/2026
5,05/08/2026,LANCADA,10/08/2026
6,06/08/2026,LANCADA,10/08/2026
7,07/08/2026,LANCADA,10/08/2026
8,08/08/2026,LANCADA,10/08/2026
9,09/08/2026,LANCADA,10/08/2026
10,10/08/2026,LANCADA,17/08/2026
11,11/08/2026,LANCADA,17/08/2026
12,12/08/2026,NAO LANÇADA ,
13,13/08/2026,NAO LANÇADA ,
14,14/08/2026,NAO LANÇADA ,
15,15/08/2026,LANCADA,17/08/2026
16,16/08/2026,LANCADA,17/08/2026
17,17/08/2026,LANCADA,25/08/2026
18,18/08/2026,LANCADA,25/08/2026
19,19/08/2026,LANCADA,25/08/2026
20,20/08/2026,LANCADA,25/08/2026
21,21/08/2026,LANCADA,25/08/2026
22,22/08/2026,LANCADA,25/08/2026
23,23/08/2026,LANCADA,25/08/2026
24,24/08/2026,LANCADA,31/08/2026
25,25/08/2026,LANCADA,31/08/2026
26,26/08/2026,LANCADA,31/08/2026
27,27/08/2026,LANCADA,31/08/2026
28,28/08/2026,LANCADA,31/08/2026
29,29/08/2026,NAO LANÇADA ,
30,30/08/2026,LANCADA,31/08/2026
31,31/08/2026,LANCADA,31/08/2026
32,,,
