ID_FOLHA,DATA_FOLHA,STATUS ,DATA DE LAÇAMENTO 
1,01/07/2026,LANCADA,06/07/2026
2,02/07/2026,LANCADA,06/07/2026
3,03/07/2026,LANCADA,06/07/2026
4,04/07/2026,LANCADA,06/07/2026
5,05/07/2026,LANCADA,06/07/2026
6,06/07/2026,LANCADA,13/07/2026
7,07/07/2026,LANCADA,13/07/2026
8,08/07/2026,LANCADA,13/07/2026
9,09/07/2026,LANCADA,13/07/2026
10,10/07/2026,LANCADA,13/07/2026
11,11/07/2026,LANCADA,13/07/2026
12,12/07/2026,LANCADA,13/07/2026
13,13/07/2026,LANCADA,22/07/2026
14,14/07/2026,LANCADA,22/07/2026
15,15/07/2026,LANCADA,22/07/2026
16,16/07/2026,LANCADA,22/07/2026
17,17/07/2026,LANCADA,22/07/2026
18,18/07/2026,LANCADA,22/07/2026
19,19/07/2026,NAO LANÇADA ,
20,20/07/2026,NAO LANÇADA ,
21,21/07/2026,LANCADA,27/07/2026
22,22/07/2026,LANCADA,27/07/2026
23,23/07/2026,LANCADA,27/07/2026
24,24/07/2026,LANCADA,27/07/2026
25,25/07/2026,NAO LANÇADA ,
26,26/07/2026,LANCADA,27/07/2026
27,27/07/2026,LANCADA,03/08/2026
28,28/07/2026,LANCADA,03/08/2026
29,29/07/2026,LANCADA,03/08/2026
30,30/07/2026,LANCADA,03/08/2026
31,31/07/2026,NAO LANÇADA ,
32,,,
